?002762,0.636363636,711.4444444,2978,1066,3.97,1700,1530,6.5,0.65,26,52.44,37.44,18.71,41.56,0.2948,111.88,113,0.2948,0.1667,7.55,0.04,39659.6,4.4309,3.8516,4.0692,0.94,5356.86,2.5,0.74,27.37,11
?002763,0.954545455,711.4444444,5926,1295,6.62,5400,4860,21.5,2.15,13.1,31.97,18.86,21.72,41.61,0.3665,94.91,106,0.3665,0.1989,4.44,0.04,66224.69,16.2879,7.6162,4.991,0.83,19485.38,3.58,0.74,10.97,11
?002765,0.625,599,3870,1644,3.58,5200,4680,20.5,2.05,7.67,22.58,11.04,22.98,24.37,0.2883,91.03,92,0.2883,0.2058,3.68,2.32,78040.51,11.6545,5.9534,7.8069,0.84,25384.6,1.4,0.52,16.81,10
?002766,0.798319328,183.8888889,4044,1576,3.13,4580,4122,18,1.8,7.53,31.74,10.84,22.82,77.44,0.3153,202.15,203,0.3153,0.092,4.28,2.32,39008.44,10.8991,5.8694,7.7078,0.65,15878.47,2.59,0.74,11.65,11
?002767,0.827160494,548.3,5185,873,3.19,2500,2250,10,1,14.87,46.02,21.41,22.43,89.55,0.3477,92.27,94,0.3477,0.2008,3.9,0.02,31866,3.9039,2.9223,3.0672,0.67,4373.61,1.44,0.89,24.19,9
?002772,0.904761905,193.3,4424,2273,4.26,3725,3353,14.5,1.45,13,24.37,18.72,22.98,102.51,0.2191,240.98,239,0.2191,0.081,4.44,2.32,42603.81,10.6114,4.9805,3.835,0.91,16251.04,2.08,0.74,20.08,5
?002773,0.808823529,387.7,3182,2548,5.76,4560,4104,13.5,1.35,13.62,64.78,19.61,22.98,67.35,0.2304,30.02,300,6.21,0.5418,3.98,2.32,67292.92,19.4088,16.1177,9.27,1.65,14293.11,8.62,0.74,16.81,7
?002776,0.977272727,688.8888889,1902,814,5.62,2622,2360,10,1,23.29,30.3,33.54,22.98,81.31,0.6035,154.43,162,0.6035,0.1208,5.15,2.32,65377.62,5.3629,3.4219,1.6264,0.32,8219.94,1.42,0.4,7.53,5
?300357,0.757575758,156.3333333,1757,1139,1.9,2525,2020,10,1,20.05,33.9,29.15,39.31,49.7,0.5684,159.28,987,0.568353,6.64,2.37,12.96,18952.45,2.235,2.129,0.8765,0.32,32.56,1.13,0.35,16,3
?300358,0.514285714,1040,4095,814,2.5,1825,1095,3.5,0.35,40,29.12,58.08,31.5,45.6,1.4026,106.6,351,1.402573947,22.6,5.84,8.05,24997,5.536,2.25,4.0454,0.7,7718.01,0.74,1.06,36.44,1
?300359,0.338028169,706.1111111,5550,0,1.2,1630,978,6.5,0.65,30.31,27.02,44.31,51.37,68.18,1.6787,220.41,487,1.678694738,15.94,3.31,10.03,11994.57,2.146,1.984,0.8587,0.26,4260.93,0.85,0.43,13.38,1
?300360,0.932098765,205.1111111,4796,0,2.08,1988,1193,7.5,0.75,55.11,18.85,65.4,33.17,40.9,2.2491,83.6,216,2.249093518,11.642753,6.13,84.37,20772,7.821,4.266,3.4616,0.8,2125,3.37,1.09,19.51,1
?300362,0.320987654,205.1111111,7584,814,4.89,2570,1998,9.5,0.95,12,57.4,17.42,41.38,57.36,1.2328,132.86,293,1.232823842,12.43478261,4.09,21.72,48881,12.847,3.255,2.49,0.18,9901.85,1.28,0.2264,5.67,1
?300364,0.718309859,990.2857143,1538,381,1.67,3000,2700,12,1.2,6.81,83.81,9.81,22.87,33.85,0.5285,106.07,122,0.53,0.18,2.93,0.09,20088.3,3.7539,2.6615,1.6696,0.1,1705.67,4.68,0.74,16.81,14
?300365,0.361344538,144.7777778,1663,814,2.32,1208,604,3.5,0.35,43.21,37.18,62.74,42.16,53.83,2.0491,155.23,351,2.049105893,9.986781229,4.56,7.87,23183.73,2.337,1.914,0.5886,0.13,1749.05,1.2,0.32,7.28,1
?300366,0.74789916,140.5,3500,814,1.04,1429,857,2.5,0.25,18.11,62.94,26.08,27.08,53.83,1.0797,173.67,332,1.079666069,10.24193548,4.79,2.32,10415.5,2.48,1.97,1.15,0.18,843.09,1.11,0.37,9.366,3
?300368,0.43902439,20.55555556,0,0,1.92,1548,1238,6,0.6,18.77,45.8,27.26,21.33,22.32,1.2869,52.54,355,1.286869513,14.53051643,5.52,9.86,21200,3.311,2.759,0.7754,0.19,3330.63,1.75,0.37,6.98,4
?300370,0.583333333,77.63636364,4529,814,1.49,1345,764,4.5,0.45,35.51,15.98,51.58,39.54,48.09,2.1044,191.35,443,2.10435276,15.09090909,4.52,8.66,14866.48,4.5,1.98,2.6,0.45,112.68,1.34,1.0361,23.2985,1
?300371,0.5,234,4977,0,2.1,1200,720,4.5,0.45,39.89,25.79,57.93,39.11,41.26,2.4896,67.57,375,2.489626556,16.66666667,3.82,3.39,21271.73,2.503,1.603,1.1895,0.33,864.12,0.97,0.8,17.26,1
?300372,0.117283951,181.8333333,2083,0,2.2,2145,1287,4,0.4,16.31,14.65,23.49,25.48,26.64,1.4487,123.92,242,1.448656134,17.2248996,5.23,2.32,22000,6.95,3.66,2.21,0.23,197.62,2.67,0.33,6.2402,1
?300373,0.644067797,685.8888889,2937,814,2.41,2060,1648,8,0.8,19.5,17.49,28.31,26.53,26.64,1.3831,84.84,371,1.383086398,8.408163265,4.78,11.49,24082.9,4.649,3.393,2.4216,0.46,8929.53,1.61,0.65,14.49,3
?300374,0.214285714,673.75,6218,814,2.74,2434,2191,9.5,0.95,13.21,20.2,19.02,22.94,25.29,0.6674,33.9,38,0.6674,0.5519,5.45,0.12,27387.88,8.0967,4.0804,2.054,0.13,10800.13,2.08,0.18,3.47,6
