,股票代码,网址,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
136,?002793,http://topic.eastmoney.com/dyby/,0.0369,0.0092,4.53,error,error,5.496,3.395,5.8421,0.82,7686.93,1.63,1.09,26.13
137,?603868,http://topic.eastmoney.com/SHFKDQIPO/,0.0633,0.0108,2.82,error,error,16.9023,11.0439,27.8263,5.02,322.23,5.8,error,55.23
138,?603701,http://topic.eastmoney.com/dhqcdz/,0.0271,error,4.54,error,error,4.5937,2.6743,3.1394,0.44,5633.59,1.32,error,17.07
139,?603798,http://topic.eastmoney.com/kpdkj/,0.0432,0.0103,4.5,0.05,32403.3,5.1928,3.3785,7.1087,0.83,6390.01,1.68,1.11,28.17
140,?300474,http://topic.eastmoney.com/jjwdz/,0.0484,0.0118,3.94,0.04,error,5.4783,3.9394,2.3968,0.89,350.78,2.45,error,25.45
141,?603028,http://topic.eastmoney.com/jssftgsipo/,0.0612,0.01,2.72,0.06,27326.19,7.6484,4.5065,5.4823,0.46,5446.02,2.14,0.28,10.72
142,?002791,http://topic.eastmoney.com/jlwjzp/,0.0447,0.0341,7.68,0.08,88353.6,20.0513,13.2013,16.7161,1.42,24364.94,8.16,0.84,11.51
143,?002792,http://topic.eastmoney.com/tytx2012/,error,error,error,error,error,7.12,4.841,4.2937,0.737,2.6685,1.2,0.8189,16.16
144,?300506,http://topic.eastmoney.com/MJHKJIPO/,0.0484,error,2.85,error,24569.63,5.5732,2.567,1.7087,0.32,810.42,1.44,0.35,13.12
145,?300484,http://topic.eastmoney.com/lhht/,0.0237,error,5.74,error,21772.24,3.7397,2.5609,3.0982,0.71,3751.96,1.6,error,31.97
146,?603861,http://topic.eastmoney.com/bydq2012/,0.074,0.0115,3.78,error,117153,22.3791,13.6093,12.6388,1.72,1405.98,8.48,error,13.42
147,?300505,http://topic.eastmoney.com/cjnhg/,0.0458,error,5.13,error,41906.53,5.344,3.5947,5.4596,0.42,9761.64,1.68,error,12.47
148,?601020,http://topic.eastmoney.com/XZHYKYIPO/,0.0713,0.0119,2.29,error,81994.14,21.9245,11.5237,5.9835,1.59,983,4.57,error,16.06
149,?002789,http://topic.eastmoney.com/jyzs2014/,error,0.0115,9.22,error,50532.13,17.6975,5.8589,18.5347,0.78,21317.69,2.69,error,14.53
150,?603919,http://topic.eastmoney.com/jwj/,0.0742,0.0151,3.66,error,84273.68,18.5329,7.6817,11.8241,1.66,9757.61,4.2,0.79,24.09
151,?300503,http://topic.eastmoney.com/hzjd/,0.0471,0.0107,6.06,error,30791.81,5.4224,4.5441,2.2126,0.43,12274.13,2.27,error,10.04
152,?603520,http://topic.eastmoney.com/zjstlzy/,0.0487,0.0242,4.68,error,60817.86,13.9901,4.3724,4.9217,0.53,15656.67,1.52,error,11.52
153,?002790,http://topic.eastmoney.com/retwy/,0.0468,0.0126,4.74,error,63955.6,8.2475,5.6858,6.0099,1.09,9106.8,3.22,error,20.6
154,?603027,http://topic.eastmoney.com/qhwysp/,0.0533,0.012,error,error,33883.41,7.2412,4.675,6.2359,0.67,9656.03,2.28,error,15.32
155,?300502,http://topic.eastmoney.com/xystx/,0.0267,error,9.03,0.05,36452.6,4.5657,3.3886,4.6105,0.79,11142.37,1.52,1.36,26.53
156,?603608,http://topic.eastmoney.com/tcssxy/,0.0769,0.0163,3.82,error,63317.18,13.5682,8.214,8.1065,0.59,27930.18,2.81,error,7.11
157,?002788,http://topic.eastmoney.com/lyyy/,0.045,0.015,7.29,error,63630,34.711,7.0812,48.9658,0.78,14083.65,4.34,0.8,11.47
158,?601900,http://topic.eastmoney.com/nfcbcm/,0.133,0.0142,4.01,error,98974,67.8067,28.3596,20.001,2.03,26342.4,11.45,0.27,8.73
159,?603377,http://topic.eastmoney.com/dfss/,0.0734,0.0166,1.7,error,188273.18,17.4578,8.1069,error,error,4911.96,2.13,error,error
160,?300501,http://topic.eastmoney.com/hsxxyybz/,0.0222,error,6.37,0.05,26476.99,3.2446,2.563,2.1499,0.44,6767.16,1.35,error,18.45
161,?300500,http://topic.eastmoney.com/szsjyjy/,0.023,error,6.88,error,32049.45,3.8743,3.3385,1.6162,0.28,12326.45,1.38,error,8.45
162,?300499,http://topic.eastmoney.com/gzgl/,error,error,5.74,0.08,25517.8,6.7054,2.9135,error,error,5775.69,1.68,error,error
163,?002778,http://topic.eastmoney.com/gksh2011/,0.1924,0.0406,error,error,error,5.9306,3.7318,error,error,7061.05,2.13,error,error
164,?603778,http://topic.eastmoney.com/BJQJYLIPO/,0.1714,0.0508,7.41,0.07,error,9.1089,4.4467,6.0328,0.81,12976.81,2.32,1.35,20.12
165,?603299,http://topic.eastmoney.com/JSJSYHIPO/,0.2472,0.0372,3.52,0.06,error,41.7699,16.6217,error,error,68416.58,4.55,error,error
166,?300494,http://topic.eastmoney.com/stwl/,0.1854,0.0347,3.52,0.02,error,3.1035,2.879,0.3441,0.08,1097.78,1.53,error,2.85
167,?300491,http://topic.eastmoney.com/thdzkj2014/,0.1751,0.0435,3.01,error,error,2.367,1.772,error,error,3903.87,0.69,error,error
168,?300490,http://topic.eastmoney.com/hzkj/,0.1691,0.0449,4.43,0.05,error,7.0103,3.1784,0.844,0.09,12521.52,1.04,error,2.78
169,?002787,http://topic.eastmoney.com/szhybzipo/,0.2083,0.0472,4.86,0.05,error,8.5915,4.8897,error,error,12242.52,2.45,error,error
170,?002777,http://topic.eastmoney.com/yhrj/,0.1378,0.0355,3.89,0.05,error,6.8959,2.8305,3.6571,0.59,3300.24,1.15,0.93,22.69
171,?603996,http://topic.eastmoney.com/xsjgd/,error,error,error,error,82681.11,14.956,6.8384,23.5107,1.33,22252.75,2.8,0.88,21.49
172,?603866,http://topic.eastmoney.com/SYTLMBIPO/,0.408,0.0718,2.56,0.09,89302.95,15.1965,12.0654,18.4377,2.49,749.21,7.18,error,22.68
173,?603508,http://topic.eastmoney.com/hnsw/,0.3997,0.0432,7.18,0.04,127427.4,10.5254,8.6171,3.1542,1.18,10747.09,5.88,0.98,14.48
174,?300495,http://topic.eastmoney.com/msstjg/,0.2913,0.0631,8.39,0.05,74890.53,11.0807,4.8457,3.0052,0.65,6065.8,3.43,1.29,error
175,?300492,http://topic.eastmoney.com/sdjzgcsj/,0.1883,0.0448,2.75,0.02,16889.23,2.6882,1.7556,error,error,964.56,0.89,error,error
176,?002786,http://topic.eastmoney.com/SZYBSIPO/,0.2366,0.0487,6.49,0.05,50112.29,23.0073,6.4631,15.9518,0.46,16012.31,3.34,error,7.33
177,?002785,http://topic.eastmoney.com/XMWLSIPO/,64,0.04,3.47,0.04,25598.96,10.0515,5.5853,4.6734,0.13,13582,2.4,error,error
178,?002782,http://topic.eastmoney.com/klk2012/,0.2229,0.0504,3.56,error,33147.41,6.3067,4.549,3.6031,0.25,6896.29,2.34,error,5.58
179,?002781,http://topic.eastmoney.com/qxjsjt/,0.2683,0.1716,5.22,error,53113.25,26.9807,9.3942,error,error,22056.96,4.96,error,error
180,?300497,http://topic.eastmoney.com/jxfxyyipo/,0.1627,0.0511,5.6,error,24091,7.1758,3.2616,error,error,9536.84,1.62,error,error
